  Fermat    Miller  Strassen Erastotene
499 0.011270 0.021205 0.011713
500 0.011309 0.010357 0.011728
501 0.011299 0.010346 0.011692
502 0.011282 0.018027 0.011750
503 0.011322 0.012179 0.011740
504 0.011308 0.012448 0.011726
505 0.011336 0.010389 0.011755
506 0.011339 0.010421 0.011771
507 0.011387 0.010411 0.011795
508 0.011355 0.010408 0.011788
509 0.011376 0.010381 0.011781
510 0.011344 0.010468 0.011796
511 0.011149 0.010210 0.011625
512 0.011779 0.010790 0.012211
513 0.011890 0.010931 0.012315
514 0.011808 0.014599 0.012268
515 0.011843 0.010945 0.012296
516 0.011804 0.016121 0.012275
517 0.011814 0.013426 0.012282
518 0.011828 0.012475 0.012271
519 0.011838 0.014448 0.012283
520 0.011794 0.038393 0.012276
521 0.011855 0.010884 0.012299
522 0.011811 0.015796 0.012316
523 0.011839 0.010862 0.012327
524 0.011864 0.012948 0.012349
525 0.011847 0.010861 0.012332
526 0.011841 0.014974 0.012351
527 0.011863 0.016026 0.012336
528 0.011873 0.012617 0.012389
529 0.011871 0.013134 0.012348
530 0.011889 0.012710 0.012375
531 0.011899 0.010942 0.012416
532 0.011882 0.010936 0.012380
533 0.011928 0.010952 0.012442
534 0.011900 0.010921 0.012415
535 0.011930 0.010921 0.012429
536 0.011952 0.013920 0.014726
537 0.012054 0.012872 0.012469
538 0.011980 0.011007 0.012460
539 0.011965 0.010993 0.012475
540 0.011988 0.010991 0.012477
541 0.011999 0.015981 0.012523
542 0.012022 0.012097 0.012463
543 0.012059 0.012723 0.012531
544 0.012014 0.011016 0.012516
545 0.013087 0.013302 0.012718
546 0.012100 0.011120 0.012568
547 0.012085 0.016420 0.012590
548 0.012132 0.013303 0.012594
549 0.012101 0.012842 0.012641
550 0.012112 0.012697 0.012619
551 0.012127 0.011110 0.012615
552 0.012094 0.019140 0.012606
553 0.012156 0.013337 0.012608
554 0.012106 0.024729 0.012665
555 0.012169 0.016711 0.012641
556 0.012196 0.011121 0.012681
557 0.012193 0.013401 0.012719
558 0.012180 0.023746 0.012683
559 0.012196 0.015932 0.012715
560 0.012200 0.011176 0.012683
561 0.012308 0.013775 0.012760
562 0.012243 0.013284 0.012744
563 0.012246 0.011245 0.012721
564 0.012253 0.011223 0.012761
565 0.012284 0.012848 0.012756
566 0.012302 0.011235 0.012775
567 0.012307 0.011248 0.012810
568 0.012307 0.011231 0.012834
569 0.012318 0.019082 0.012822
570 0.012305 0.016664 0.012835
571 0.012354 0.011237 0.012842
572 0.012319 0.017516 0.012843
573 0.012351 0.011256 0.012849
574 0.012348 0.031702 0.012865
575 0.012076 0.011027 0.012599
576 0.012812 0.011719 0.013307
577 0.012913 0.017475 0.013457
578 0.012911 0.023698 0.013414
579 0.012959 0.013913 0.013468
580 0.012898 0.014552 0.013419
581 0.012856 0.031215 0.013407
582 0.012906 0.011767 0.013417
583 0.012911 0.015235 0.013511
584 0.012927 0.013306 0.013524
585 0.012904 0.011798 0.013424
586 0.012901 0.018091 0.013471
